Titre;janv-00;janv-01;janv-02;janv-03;janv-04;janv-05;janv-06;janv-07;janv-08;janv-09;janv-10;janv-11;janv-12;janv-13;janv-14;janv-15;janv-16;janv-17;janv-18;janv-19;janv-20;janv-21;janv-22;janv-23;janv-24;janv-25
Total;92,5762;93,7755;94,2645;95,0626;95,2266;96,3739;97,618;97,7176;100,0885;100,2278;101,2538;101,5358;100,7342;100,4625;100,5172;100,0294;98,7624;99,107;99,8406;100,3998;100,6029;100,0553;101,705;105,0435;106,3866;106,8138
    Alimentation et boissons non alcoolisées;93,821;95,1739;99,3508;98,8467;101,2015;100,5928;99,6523;100,4207;102,3679;104,4563;102,6274;99,7026;97,4584;98,4693;99,5418;99,8508;98,4491;99,349;100,388;101,2391;100,2553;99,9883;98,4684;104,0025;106,4301;105,3077
        Alimentation;93,1732;94,5016;98,8883;98,2313;100,7657;100,1744;99,3136;100,1808;102,1855;104,2991;102,2789;99,4252;96,6277;97,8296;99,2316;99,4266;98,2149;99,2436;100,1678;101,2775;100,1624;99,8155;98,2757;103,8223;106,1015;104,839
            Pain, farine et produits céréaliers;98,3955;97,9166;99,5738;100,0704;101,9009;102,6133;101,1023;100,8488;104,4435;105,9555;105,1182;103,6939;101,5057;100,7348;100,4845;101,095;101,0651;100,675;100,9321;101,335;100,4665;99,6753;98,8553;107,8336;110,2108;109,7658
                Riz;85,4913;85,058;85,7116;75,6154;83,832;84,413;76,0934;78,4246;82,1012;89,9085;96,3185;84,7345;88,2536;84,4098;91,8521;104,5278;104,2233;102,9051;99,7733;102,9104;101,1733;97,9983;93,6656;110,2159;111,368;108,7045
                Farine et autres céréales;103,4471;99,681;97,1929;96,7969;98,2611;98,5099;99,0546;100,4883;106,5414;108,4063;105,3515;103,3637;100,449;99,6402;100,3136;99,0275;103,441;100,1118;101,6882;100,0246;97,1624;100,0638;97,2255;105,466;108,3953;109,0118
                Pain, pâtisserie et autres articles de boulangerie;94,9584;94,2384;95,8135;96,6424;98,6548;99,8275;98,9758;98,5616;102,1053;102,929;102,6358;102,2837;101,2273;100,3721;100,1263;100,8181;100,9048;100,7696;101,001;101,4937;100,9542;100,3825;99,1564;108,6423;110,428;109,9971
                    Pain;97,2284;94,4471;95,8418;96,4983;97,5464;98,0701;98,1894;97,0364;101,7234;103,6877;102,4328;101,8951;102,4685;101,7341;100,4023;101,1019;101,5477;100,29;101,2051;102,0728;101,3336;100,6947;99,8046;110,7027;110,5138;109,3672
                    Autres produits de boulangerie;93,2087;94,0699;95,7906;96,7426;99,528;101,2239;99,5421;99,674;102,4118;102,4351;102,8344;102,6038;100,4126;99,4822;99,9625;100,6439;100,5031;101,0556;100,8779;101,1533;100,7287;100,2008;98,7569;107,4901;110,3073;110,2381
                        Produits de petite boulangerie;84,0955;85,5878;86,6259;86,5702;91,6408;92,365;92,2555;93,7647;98,1009;101,4252;102,2069;102,4258;101,7749;101,9468;101,2909;101,5635;103,2794;103,0519;101,9394;102,7916;100,4212;99,5316;99,0439;110,9001;112,7718;113,144
                        Viennoiseries et produits de pâtisserie;87,4836;88,2664;90,8446;93,3126;92,9114;96,2285;96,8242;96,911;99,7551;100,559;99,8996;99,6715;99,5809;98,4832;98,7251;98,8444;98,7001;99,3664;99,8241;100,0678;101,0563;100,5828;98,4461;106,3439;109,8193;109,0466
                        Produits de biscuiterie, biscotterie;115,0236;113,5589;114,2541;115,584;115,1265;115,9551;109,0073;108,0249;109,2522;105,7809;107,2447;106,6745;100,656;99,2424;100,6734;102,3584;100,8663;101,8087;101,3997;101,3202;100,5802;100,1933;98,8869;106,5646;109,2608;109,7104
                Pizzas et quiches;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;109,3561;106,0579;105,168;108,0121;102,7688;97,4806;97,2921;104,8237;102,8863;106,144
                Pâtes alimentaires;109,8213;111,4086;118,0476;115,2611;116,9023;114,4182;107,3893;107,7609;109,999;117,3773;110,2258;107,2043;98,6515;99,9524;98,5853;94,939;96,3937;96,6997;96,7076;97,3709;97,1279;94,3703;98,427;108,1155;114,9508;110,8113
                Céréales du petit déjeuner;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;105,7323;104,357;106,0999;105,3733;104,3967;102,6493;104,306;104,592;109,9109;113,9937
                Autres produits céréaliers;111,8805;112,9133;112,6936;116,6703;115,121;114,6966;113,6324;112,6251;116,3136;115,7734;114,9882;110,4455;104,3475;103,3271;101,4183;102,6269;97,8256;98,5398;99,7347;98,2258;97,1814;99,2463;96,3914;103,3782;105,9525;105,886
            Viande, produits à base de viande, préparations de viande;81,7557;85,8928;89,493;90,8706;92,8052;93,819;91,3153;92,1141;92,9223;97,2079;94,2049;91,7024;90,8884;91,3956;94,2302;94,8586;94,732;94,5535;96,2423;97,3943;99,5572;99,6699;97,6257;100,4984;101,3724;101,5212
                Viande, fraîche ou congelée;80,8153;82,2313;86,7724;87,8212;90,5147;90,1926;89,5747;90,7159;93,8515;96,6051;94,3121;91,8714;91,7281;94,0325;95,4322;94,7381;95,2632;95,7937;97,9307;99,3612;100,2041;99,6136;99,9646;103,4543;104,6308;103,045
                    Viande de boeuf et de veau;69,5029;68,0192;73,2805;74,7022;78,0802;77,7866;80,025;80,7836;83,914;87,6876;85,7472;84,3776;84,3104;86,8148;89,1625;90,2949;92,6018;93,838;95,1566;96,7775;98,5522;100,75;101,784;105,6167;107,1052;105,1928
                        Viande de boeuf;69,8488;66,5578;71,9124;73,7733;78,8687;78,5476;79,7399;80,3372;82,964;86,3392;83,8128;82,9881;83,7627;85,9837;87,654;88,6447;90,6865;92,508;93,6677;95,4735;97,4905;100,3205;101,1488;104,8539;106,6748;104,0078
                        Viande de veau;71,3766;73,5682;78,8561;78,9229;79,3183;79,0365;83,5932;84,656;88,9482;93,7031;93,3161;89,4277;87,3895;90,355;95,4728;97,0761;100,2323;99,9876;101,8766;102,8696;103,3804;103,0533;105,9129;110,9889;109,9409;112,8774
                    Viande de porc;88,6118;92,9097;99,3404;97,1428;102,5804;99,3571;94,575;93,6706;99,9505;102,3971;98,4032;92,2655;90,5845;96,0586;97,0581;90,8609;93,1786;93,7491;96,4049;100,1274;102,1428;99,1702;93,4001;91,9868;97,2542;98,8789
                    Viande d'agneau;69,4488;70,6671;75,9762;77,3605;77,0327;78,7215;81,6465;83,9413;87,571;91,3216;92,2435;92,5026;94,0046;96,3844;96,6137;96,0553;95,2632;99,2163;102,1631;104,1673;102,3848;100,0239;107,6388;112,3894;110,8099;109,2642
                    Volaille;99,8659;102,2521;102,123;107,8352;107,5035;108,2727;104,9473;108,2843;107,0378;105,9604;104,7274;101,4168;102,1107;101,391;102,8941;103,1999;100,2469;99,002;101,5481;101,0453;100,4589;98,2733;99,9196;105,715;103,865;101,0149
                    Autre viande fraîche;80,19;83,4662;87,6069;86,2984;88,4839;89,5285;89,9197;91,9439;95,2528;99,6743;96,179;97,125;97,0433;99,0487;98,7357;99,9906;98,9525;98,1949;101,8732;102,1705;102,3446;99,8751;99,8562;107,9144;112,8158;107,3276
                Produits à base de viande et préparations de viande;82,9857;91,2581;93,5049;95,4225;96,2175;99,223;93,9641;94,3949;91,7094;98,3022;94,2662;91,4822;89,6143;87,3752;92,3597;95,0651;94,078;92,9809;94,1507;94,9395;98,7743;99,7381;94,7996;96,97;97,5085;99,733
                    Saucisses;76,4951;86,9158;88,6119;90,4832;90,4944;93,9221;89,6604;90,162;86,1364;93,8999;90,8873;90,7196;87,6342;84,4214;88,6317;93,4732;91,7707;90,6467;90,921;91,7089;97,6964;98,9651;92,6144;93,4874;94,8672;96,3447
                    Charcuterie, autres produits à base de viande et préparations de viande;90,3501;95,5578;98,5511;100,5504;102,3243;104,7488;98,3065;98,6066;97,6678;102,6011;97,3883;91,3861;91,0843;89,9068;95,6965;96,0483;95,8594;94,7758;96,6721;97,4613;99,6548;100,2964;96,3827;99,5753;99,4385;102,0011
                        Charcuterie et autres produits à base de viande;92,6826;98,1192;101,2187;103,2651;105,0899;107,6527;100,5954;100,4628;99,1653;103,912;99,3853;92,7361;90,6694;89,4758;97,107;95,629;95,3978;93,8275;95,8989;96,5468;99,8989;100,2728;95,295;98,3805;97,8105;101,2312
                        Préparation de viande crue prête à cuisiner;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;97,0074;97,9361;99,2642;100,5348;98,8259;100,3536;99,142;102,5745;103,9214;103,3076
            Poissons et fruits de mer;91,081;94,294;97,5929;100,6733;99,7072;100,6247;101,2153;102,7176;104,4229;104,9681;99,0387;96,6568;93,7564;93,1921;95,2316;98,3122;95,5574;98,6833;101,1572;100,522;99,3649;100,4524;99,1498;105,3576;109,751;105,8717
                Poissons frais;79,7545;84,6435;87,7372;91,2237;90,2238;91,8167;95,6928;99,5505;103,249;103,0547;98,3843;97,3865;90,7985;90,8224;91,2304;94,5149;91,9384;95,7118;97,5728;100,5113;99,6672;101,1619;99,7223;109,3775;111,1373;108,1139
                Poissons congelés;108,0086;109,6974;113,2106;114,9865;115,1674;115,0446;113,1744;111,9238;109,4631;113,5567;108,8048;103,4045;98,5644;97,9096;98,6195;102,3446;99,8172;103,7884;102,7934;101,3023;100,3281;102,5034;100,9355;104,3597;108,7405;103,3669
                Conserves de poisson et poisson fumé;109,2491;108,8876;112,6153;115,7358;114,0191;114,0027;107,5806;104,5706;104,5405;104,1359;93,9079;91,1931;98,0264;96,4284;102,5618;104,5891;100,9796;102,0037;108,3076;100,2365;98,223;97,8224;96,8736;97,0843;107,0834;101,6971
            Lait, fromage, oeufs;101,1568;101,2951;103,2109;102,8816;103,2507;103,6071;101,4078;101,256;102,4629;104,703;102,6494;100,5209;99,1202;98,025;99,1753;100,9704;98,7108;98,0176;99,085;99,8119;99,8227;99,9485;99,8991;108,046;110,0237;109,6819
                Lait et yogourt;98,2233;98,4421;100,0323;99,0822;97,6944;98,1042;95,4314;95,4688;98,4097;100,341;95,5132;95,856;96,3852;96,037;99,329;99,5909;99,189;98,2699;100,1501;100,4475;99,8643;100,5641;101,1943;109,7288;112,2334;111,9417
                Fromage;99,7216;99,7874;102,2007;102,6915;103,2394;103,4893;101,7983;101,7663;102,0387;104,3478;102,8525;100,9552;99,578;97,0028;97,8371;101,2914;97,824;97,2704;97,7337;99,3469;99,1496;99,3406;99,1456;107,0017;109,1216;108,0061
                    Fromage à pâte dure et mi-dure;94,4113;94,5753;97,0288;97,5699;97,8913;98,7104;96,6426;96,7217;98,1052;101,323;100,2661;97,7236;97,6012;94,6582;96,1793;100,7945;98,2175;97,696;96,8446;99,1887;99,0194;100,029;98,7726;105,8761;108,2244;106,6118
